GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bmse3014-assignment,presentation.Food,FoodHandler,3,432,3,57,1,124,3,41,0,13
bmse3014-assignment,presentation.Food,MenuDisplay,3,242,0,10,1,56,1,11,1,6
bmse3014-assignment,presentation.Food,FoodManagementOption,0,84,0,4,0,16,0,7,0,5
bmse3014-assignment,presentation.Food,FoodEditOption,0,68,0,4,0,14,0,7,0,5
bmse3014-assignment,controller,CustomerController,0,70,0,0,0,17,0,10,0,10
bmse3014-assignment,controller,FoodController,0,108,0,2,0,24,0,16,0,15
bmse3014-assignment,controller,PaymentController,9,34,0,0,2,9,1,3,1,3
bmse3014-assignment,controller,OrderController,0,58,0,0,0,12,0,6,0,6
bmse3014-assignment,presentation.Payment,PaymentOption,24,98,4,4,4,22,3,7,1,5
bmse3014-assignment,presentation.General,UserCancelledException,0,8,0,0,0,4,0,2,0,2
bmse3014-assignment,presentation.General,Application,3,170,1,10,1,46,1,14,0,8
bmse3014-assignment,presentation.General,UserInputHandler,13,97,4,10,5,27,4,9,0,6
bmse3014-assignment,presentation.General,MainMenuOption,0,125,0,6,0,23,0,10,0,7
bmse3014-assignment,presentation.Order,OrderHandler,107,259,8,34,26,78,7,20,1,4
bmse3014-assignment,presentation,Main,3,7,0,0,2,2,0,2,0,2
bmse3014-assignment,presentation.Admin,AdminHandler,23,80,8,10,11,34,8,8,0,4
bmse3014-assignment,presentation.Admin,AdminMenuOption,0,132,0,8,0,27,0,10,0,6
bmse3014-assignment,service.impl,FoodService,2,160,1,29,1,36,1,27,0,13
bmse3014-assignment,service.impl,OrderService,13,117,2,8,3,28,2,8,0,5
bmse3014-assignment,service.impl,CustomerService,20,138,7,33,4,27,7,22,0,9
bmse3014-assignment,service.impl,PaymentService,16,102,5,13,3,23,5,9,0,4
bmse3014-assignment,presentation.Customer,CustomerHandler,53,205,2,30,14,55,2,17,0,3
bmse3014-assignment,model,Customer,4,125,3,5,0,41,3,20,0,19
bmse3014-assignment,model,GrabPayment,1,32,2,2,0,9,2,5,0,5
bmse3014-assignment,model,Food,0,111,0,8,0,32,0,19,0,15
bmse3014-assignment,model,PaymentMethod,3,135,3,5,0,43,3,21,0,20
bmse3014-assignment,model,TNGPayment,0,33,1,3,0,9,1,6,0,5
bmse3014-assignment,model,Order,8,133,5,5,0,40,5,20,0,20
bmse3014-assignment,model,BankPayment,3,36,1,3,1,9,2,6,1,5
bmse3014-assignment,model,OrderDetails,4,190,4,16,0,51,4,24,0,18
bmse3014-assignment,repository.impl,CustomerRepository,48,288,15,25,12,69,15,14,0,9
bmse3014-assignment,repository.impl,OrderRepository,48,420,11,21,14,111,10,15,0,9
bmse3014-assignment,repository.impl,FoodRepository,149,276,25,21,38,67,20,15,2,10
bmse3014-assignment,repository.impl,PaymentMethodRepository,41,231,7,13,12,58,7,11,0,8
bmse3014-assignment,config,DatabaseConnection,17,122,5,17,4,32,5,13,0,7
